group	samples
gtex	SRR1388832
gtex	SRR1345760
gtex	SRR661854
gtex	SRR1415684
gtex	SRR1468004
gtex	SRR809444
gtex	SRR602034
gtex	SRR614635
gtex	SRR1457291
gtex	SRR1453093
gtex	SRR1476697
gtex	SRR1458683
gtex	SRR1318605
gtex	SRR659295
gtex	SRR1440101
gtex	SRR1486719
gtex	SRR1354117
gtex	SRR1447938
gtex	SRR1349276
gtex	SRR816226
gtex	SRR1472794
gtex	SRR615323
gtex	SRR1441975
gtex	SRR1401839
gtex	SRR812562
gtex	SRR1477837
gtex	SRR1356660
gtex	SRR1071403
gtex	SRR659911
gtex	SRR661553
gtex	SRR1473078
gtex	SRR818110
gtex	SRR1071594
gtex	SRR1437274
gtex	SRR2170696
gtex	SRR1360080
gtex	SRR1318560
gtex	SRR1471117
gtex	SRR1415337
gtex	SRR1415773
gtex	SRR1476300
gtex	SRR613999
gtex	SRR614251
gtex	SRR1320203
gtex	SRR1355102
gtex	SRR1098879
gtex	SRR1092257
gtex	SRR1458852
gtex	SRR1436651
gtex	SRR1327593
gtex	SRR1467966
gtex	SRR1365448
gtex	SRR5125359
gtex	SRR1401379
gtex	SRR662847
gtex	SRR1398752
gtex	SRR1311419
gtex	SRR661242
gtex	SRR1388528
gtex	SRR656071
gtex	SRR5125347
gtex	SRR1334291
gtex	SRR1355396
gtex	SRR615311
gtex	SRR1312684
gtex	SRR615177
gtex	SRR1340598
gtex	SRR1403366
gtex	SRR1365791
gtex	SRR656958
gtex	SRR1435460
gtex	SRR813935
gtex	SRR1358713
gtex	SRR1416672
gtex	SRR1398728
gtex	SRR1443003
gtex	SRR657139
gtex	SRR1430525
gtex	SRR1473696
gtex	SRR810007
gtex	SRR1361480
gtex	SRR1480745
gtex	SRR614179
gtex	SRR1432890
gtex	SRR1402368
gtex	SRR601500
gtex	SRR1443436
gtex	SRR5125419
gtex	SRR1350503
gtex	SRR1436420
gtex	SRR1413722
gtex	SRR1453456
gtex	SRR1397218
gtex	SRR1089230
gtex	SRR1473040
gtex	SRR1342782
gtex	SRR1433860
gtex	SRR1353555
gtex	SRR2164650
gtex	SRR1070813
gtex	SRR810595
gtex	SRR1452864
gtex	SRR1094312
gtex	SRR1474999
gtex	SRR1357103
gtex	SRR603116
gtex	SRR1325527
gtex	SRR662594
gtex	SRR1361546
gtex	SRR1470798
gtex	SRR1342045
gtex	SRR1375593
gtex	SRR663161
gtex	SRR817954
gtex	SRR615563
gtex	SRR1087487
gtex	SRR808520
gtex	SRR810225
gtex	SRR1436698
gtex	SRR1101787
gtex	SRR1093483
gtex	SRR1433290
gtex	SRR1434048
gtex	SRR1445573
gtex	SRR1098952
gtex	SRR1348114
gtex	SRR1500306
gtex	SRR1318815
gtex	SRR1376426
gtex	SRR1391420
gtex	SRR1375907
gtex	SRR1394169
gtex	SRR615299
gtex	SRR1443459
gtex	SRR1442708
gtex	SRR819919
gtex	SRR1369219
gtex	SRR657348
gtex	SRR811938
gtex	SRR1444120
gtex	SRR819261
gtex	SRR1343414
gtex	SRR1079660
gtex	SRR659602
gtex	SRR663898
gtex	SRR603690
gtex	SRR5125596
gtex	SRR1074646
gtex	SRR603236
gtex	SRR1491332
gtex	SRR1339108
gtex	SRR614814
gtex	SRR615635
gtex	SRR815825
gtex	SRR1337173
gtex	SRR1430729
gtex	SRR1072529
gtex	SRR1077503
gtex	SRR1331109
gtex	SRR1434009
gtex	SRR1465804
gtex	SRR818146
gtex	SRR816382
gtex	SRR1105369
gtex	SRR1364848
gtex	SRR1338055
gtex	SRR1338402
gtex	SRR1459913
gtex	SRR1418707
gtex	SRR1415792
gtex	SRR1478722
gtex	SRR663236
gtex	SRR820733
gtex	SRR1343115
gtex	SRR814363
gtex	SRR1095309
gtex	SRR658766
gtex	SRR1381481
gtex	SRR1480455
gtex	SRR1079259
gtex	SRR1101175
gtex	SRR1405123
gtex	SRR819234
gtex	SRR1440699
gtex	SRR1333083
gtex	SRR663453
gtex	SRR811169
gtex	SRR1408249
gtex	SRR1309942
gtex	SRR809233
gtex	SRR1094601
gtex	SRR1338560
gtex	SRR614960
gtex	SRR1341080
gtex	SRR1358343
gtex	SRR1499958
gtex	SRR614767
gtex	SRR659875
gtex	SRR5125352
gtex	SRR605101
gtex	SRR659436
gtex	SRR1075150
gtex	SRR1120296
gtex	SRR1415615
gtex	SRR1468447
gtex	SRR1415153
gtex	SRR1468658
gtex	SRR657480
gtex	SRR1398335
gtex	SRR603140
gtex	SRR1322619
gtex	SRR1390311
gtex	SRR819024
gtex	SRR1477149
gtex	SRR817444
gtex	SRR1101483
gtex	SRR1374647
gtex	SRR1418302
gtex	SRR1362802
gtex	SRR612827
gtex	SRR614647
gtex	SRR1388257
gtex	SRR1330854
gtex	SRR658989
gtex	SRR5125357
gtex	SRR811988
gtex	SRR1420558
gtex	SRR1439742
gtex	SRR608026
gtex	SRR809185
gtex	SRR1076847
gtex	SRR1368574
gtex	SRR1359780
gtex	SRR809725
gtex	SRR819394
gtex	SRR1467835
gtex	SRR5125376
gtex	SRR1432650
gtex	SRR1328464
gtex	SRR1486117
gtex	SRR1320225
gtex	SRR1331130
gtex	SRR817464
gtex	SRR1380716
